Heteroscedasticity (Breusch-Pagan),Normality (Shapiro-Wilk),Normality (Jarque-Bera),Normality (D'Agostino),Autocorrelation (Durbin-Watson),Autocorrelation (Ljung-Box)
0.027764884204942473,0.9961933397149857,0.8730458999956392,0.8114118167737848,0.8932851813430593,0.006812526747037519
0.20289462188321952,0.04234729711863487,0.28224670277594416,0.22838249772051167,0.7095645092299296,0.0009268844858098858
0.8064042609912503,0.0010137187506535506,0.0032002681235784674,0.0017872019006131281,0.9370576852714197,0.25174639967733065
0.6825055625881764,0.021953370415772125,0.1369225142175502,0.07715194348930698,1.1979103950755863,0.2550424765754123
0.020907461072812324,0.993701949157828,0.9358351963514613,0.9092759609787638,0.7686454330990777,0.002343539083304065
0.07030730629081418,0.6193924162779569,0.6794046476661759,0.6416142757477208,1.4000634026312968,0.016644789892761983
0.12437988670824761,0.5634944183332478,0.7680689176256399,0.6283357934612033,0.698747200907209,0.009415370131620653
0.9500245321868469,0.01355471481608963,0.09314805990199551,0.03796807693515087,0.6774640809339156,0.0080361370437689
0.03153290071871595,0.04461812074894071,0.07376570205584479,0.026843006055042862,0.6663067661131724,0.0003044334056791429
0.3087192263839089,0.8815874635968373,0.8520141415589549,0.5165640442879842,1.2287345654726947,0.41016500052675986
0.871777087087897,0.08915136867413673,0.18015100176079,0.0756075211539366,0.7897507917156341,0.023412619335184674
0.1642033709705626,0.4283686471025792,0.6157416886969838,0.5425547743834757,1.3061358069993372,0.5451299810406445
0.07715111489479781,0.3064662480934597,0.350178451866947,0.21954945127407618,0.8801027732441707,0.016644307298591125
0.04224549470254114,0.7360040839866054,0.4696652074183887,0.2449878363135244,1.3237332934487551,0.21790421185900194
0.08141032534349758,0.8407032228155342,0.9006228706704635,0.6554617717559661,0.8960168915826227,0.06776665062051647
0.45845192313466787,0.39243952608015176,0.4776157900574245,0.43211999489132424,1.1731523502347074,0.18250723478424194
0.9769084678835027,0.10862210893993307,0.39327354512632245,0.22216119625729724,1.376922065384169,0.37670819709454734
0.3759795761550693,0.010179252029924823,0.25223891221542966,0.11293674864118249,1.143417654824315,0.19829882893932954
0.14784351521391348,0.004609219364926257,0.23658251008357004,0.14676063240471635,1.5066663208167232,0.8052355518904182
0.35511626822956754,0.028950626948976755,0.28872775936619366,0.1987513337111158,1.9018199549857746,0.4202824434189036
0.11186064034055097,0.4550404647781074,0.6101631792737792,0.5863074731609961,1.4763788528703483,0.41686820665013347
0.01884076394704776,2.9465137545847896e-06,2.4450321236628667e-12,4.818021599933786e-07,1.2771621465231338,0.6502376460290138
0.11302376790604483,0.16608538315429094,0.3421078606451572,0.17740078140148582,1.1709634638896376,0.15269858573793596
0.16942205199082838,0.1913620344458845,0.43396291010755683,0.28370439575822143,1.2244667628593753,0.23213190559839134
0.12553706579773752,0.17939884450168936,0.3629117288270013,0.1984656127898033,1.1871227156451483,0.17758350314424895
