Frequencia(ciclos/mes),Magnitude
0.000000,685544.00
0.010526,179818.99
0.021053,329545.05
0.031579,310661.04
0.042105,301843.85
0.052632,82465.72
0.063158,287974.04
0.073684,82307.37
0.084211,990561.41
0.094737,320506.88
0.105263,14756.96
0.115789,303649.50
0.126316,223522.42
0.136842,287287.57
0.147368,331324.71
0.157895,479780.94
0.168421,1347268.02
0.178947,208588.86
0.189474,539016.73
0.200000,68595.83
0.210526,131807.32
0.221053,338074.89
0.231579,553218.12
0.242105,640578.05
0.252632,192165.22
0.263158,250866.51
0.273684,107953.14
0.284211,105064.09
0.294737,852867.31
0.305263,163156.01
0.315789,479361.60
0.326316,1184110.11
0.336842,811551.43
0.347368,1620520.54
0.357895,456116.74
0.368421,553808.96
0.378947,208712.66
0.389474,1069518.92
0.400000,1097983.80
0.410526,997015.65
0.421053,1660606.26
0.431579,1253090.92
0.442105,589779.67
0.452632,689683.37
0.463158,677980.84
0.473684,875112.08
0.484211,637526.19
